id;last_name;first_name;ecn_id;manager;manager_ecn_id;contract_start_date;contract_end_date;order_unit_price;maximum_order_settlement_condition;minimum_order_settlement_condition;order_deduction_unit_price;order_surcharge_unit_price;purchase_unit_price;maximum_purchase_settlement_condition;minimum_purchase_settlement_condition;purchase_deduction_unit_price;purchase_surcharge_unit_price
1;井上;結衣;Money Mouse payment;encoding copying;Ball;2023-07-14T03:07:28;2023-07-14T00:02:42;29399;38851;85168;42401;49226;97557;65389;56861;49750;96629
2;伊藤;陽翔;Director;connecting transmit;matrix adapter;2023-07-13T12:49:22;2023-07-13T22:02:58;87882;95842;2416;11135;35989;17495;32704;77764;9576;2718
3;吉田;莉子;Sports Buckinghamshire;engine;Buckinghamshire hour strategize;2023-07-14T05:07:30;2023-07-13T23:50:38;1472;60718;77218;70822;36502;86187;39327;26033;63796;73680
4;木村;杏;synthesize;Account ルーマニア 兵庫県;Sausages;2023-07-14T10:12:08;2023-07-13T19:48:58;46520;67283;94494;47355;40636;97011;94873;17103;59357;88221
5;山田;結衣;transmit mesh;target SSL Total;Quality Engineer customized;2023-07-14T11:58:51;2023-07-13T17:09:51;90099;50359;63490;61062;92429;20099;25166;71764;43238;32441
6;木村;愛菜;山形県 calculate;web-enabled Granite Security;Division;2023-07-13T15:36:08;2023-07-14T08:30:32;10983;86067;46178;27674;60443;20956;45468;66691;69314;10719
7;山口;美咲;茨城県;Account virtual Ngultrum;Tasty silver;2023-07-13T17:45:52;2023-07-13T22:26:10;43996;14683;30690;19233;71247;32503;16538;98645;92857;42133
8;清水;海翔;connect;plum withdrawal copy;drive;2023-07-14T05:11:37;2023-07-14T06:41:34;55570;98979;92050;51647;62162;46756;45987;52255;17017;21730
9;林;愛菜;Salad Creative;Upgradable;Auto Account 1080p;2023-07-14T02:28:42;2023-07-13T23:06:30;8559;16031;2770;72343;27154;10864;31842;39149;8427;6413
10;斎藤;太一;Shoes Mouse;Sports;pink Frozen Belarussian;2023-07-14T04:07:50;2023-07-14T06:20:00;44835;72701;90063;32945;57792;40917;34284;3833;424;86987
