id;customer_name;name;email;phone_name
1;synergies;Steel 青森県 Ergonomic;大翔_山田23@yahoo.com;program Account Grocery
2;bifurcated Distributed;Manager;心愛.松本@gmail.com;ジャマイカ Tuna 宮城県
3;stable backing;encryption;蓮7@gmail.com;maximized next-generation
4;product Lead Configuration;ウガンダ Borders;結衣.鈴木@gmail.com;Gloves quantify bluetooth
5;matrix;Handcrafted Legacy;蒼空_佐藤@hotmail.com;Steel Legacy impactful
6;Rustic green;out-of-the-box;心愛94@gmail.com;modular
7;Avon holistic Avon;Dollar metrics Soft;美羽50@yahoo.com;Steel
8;drive Taka;Senior bluetooth moratorium;大翔_田中7@hotmail.com;Jewelery withdrawal International
9;Keyboard Chair;USB;颯太_吉田34@gmail.com;Cotton
10;Algerian モザンビーク gold;アフリカ Fantastic;翼4@yahoo.com;Plastic redundant
